,source,target
0,779436493060251648,919843327
1,779436493060251648,19144427
2,779436493060251648,1105425115523645440
3,779436493060251648,128763602
4,779436493060251648,1189333712636395520
5,779436493060251648,764871962
6,779436493060251648,1203326547207303168
7,779436493060251648,592369986
8,779436493060251648,1388054725271166976
9,779436493060251648,88780920
10,779436493060251648,1102413102820155393
11,779436493060251648,858181196
12,779436493060251648,1129767475
13,779436493060251648,210713176
14,779436493060251648,1225242963967561728
15,779436493060251648,1368042197149450242
16,779436493060251648,1191575496556994561
17,779436493060251648,1082883896675581952
18,779436493060251648,1343425623323148288
19,779436493060251648,1299132619574177793
20,779436493060251648,1053638132644634624
21,779436493060251648,1301203801198809091
22,779436493060251648,63965750
23,779436493060251648,34473400
24,779436493060251648,4638760040
25,779436493060251648,2930460594
26,779436493060251648,1263183575337353218
27,779436493060251648,1161806228517007362
28,779436493060251648,838817931156942848
29,779436493060251648,412744388
30,779436493060251648,3060899852
31,919843327,3188186964
32,919843327,304137789
33,919843327,299464496
34,919843327,1354768175825489920
35,919843327,1369234823068327939
36,919843327,1399642899994738689
37,919843327,1284342172725252099
38,919843327,1440295603624288273
39,919843327,1465973235766337539
40,919843327,1337738565258801159
41,919843327,1432719791521943566
42,919843327,1366209227086266371
43,919843327,1350363667
44,919843327,856560046523772928
45,919843327,944894451310239749
46,919843327,776920356
47,919843327,1258284773593632768
48,919843327,1089679047481847810
49,919843327,2203852064
50,919843327,766344089910509568
51,919843327,1051977480175681536
52,919843327,3160660564
53,919843327,1479251560311898114
54,919843327,1479514850791653378
55,919843327,3279785413
56,919843327,1021396585333370880
57,919843327,1115982147028946944
58,919843327,1006629859299295232
59,919843327,884830230602326016
60,919843327,1395997834831298560
61,919843327,1233818569
62,919843327,1485776094129238016
63,919843327,962721782951239681
64,919843327,1436527559005675529
65,919843327,762842228
66,919843327,2252734927
67,919843327,1089779773
68,919843327,1482865604138881032
69,919843327,1398647713693114370
70,919843327,2561732377
71,919843327,1478232355575898114
72,919843327,796971307413995520
73,919843327,462089210
74,919843327,1263652503570092035
75,919843327,54146223
76,919843327,1350417408905732102
77,919843327,1214590264112607237
78,919843327,1245771629751394305
79,919843327,3768486383
80,919843327,82359956
81,919843327,621378531
82,919843327,2262624462
83,919843327,1258793794021085185
84,919843327,1417117377792122880
85,919843327,1423557104267190276
86,919843327,1045024399047446528
87,919843327,2908236513
88,919843327,1239853278013210625
89,919843327,1352690170332467201
90,919843327,1209876456660226048
91,919843327,1389218745143283728
92,919843327,1298377893391683585
93,919843327,1266472151650938882
94,919843327,550871854
95,919843327,1238289549488349185
96,919843327,1321639817453600769
97,919843327,1459091510314831872
98,919843327,1244829636380340226
99,919843327,1195337581031874561
100,919843327,1093598719805599744
101,919843327,1235180449170743297
102,919843327,972758433697906689
103,919843327,1387470345435758601
104,919843327,190143980
105,919843327,937347418496040961
106,919843327,843298510980038656
107,919843327,1401543289292066947
108,919843327,3269050448
109,919843327,1366449074652725257
110,919843327,1205465247705731072
111,919843327,1292095370424549376
112,919843327,413446193
113,919843327,994236861110476801
114,919843327,1424002116172099586
115,919843327,771136623484502016
116,919843327,3430984454
117,919843327,1373122830351675393
118,919843327,1377422931978985476
119,919843327,1165030498634272768
120,919843327,395321304
121,919843327,3045303456
122,919843327,1196633383419416576
123,919843327,2372937524
124,919843327,1215378686293237760
125,919843327,1415980191663366145
126,919843327,272167511
127,919843327,1466902036927361025
128,919843327,1242644100043726849
129,919843327,1299178848488169472
130,919843327,450332030
131,919843327,2703917104
132,919843327,809569239375806464
133,919843327,1164767111039737862
134,919843327,1088063730250801153
135,919843327,1338475828020203520
136,919843327,1412949333327196160
137,919843327,74065679
138,919843327,1045879559646670853
139,919843327,404310074
140,919843327,1265278483137064961
141,919843327,1053685406745706496
142,919843327,1281500699759710208
143,919843327,69761258
144,919843327,188575488
145,919843327,1331965944
146,919843327,1087899086299283461
147,919843327,1427433274050109441
148,919843327,1041743408887410688
149,919843327,907682079701327872
150,919843327,2914195191
151,919843327,1165080463926390784
152,919843327,550632641
153,919843327,1350876274604949504
154,919843327,114675114
155,919843327,25154074
156,919843327,1438855646762446851
157,919843327,1149001506684669952
158,919843327,1302378827209871360
159,919843327,1240981597870006273
160,919843327,1368155847545741314
161,919843327,1427873758027550721
162,919843327,1163820861909921793
163,919843327,1299071042304966656
164,919843327,1475659323770560516
165,919843327,125098560
